Activity;Resource;Date;Time;Column 5;Column 6;Column 7;Decision Type
SupportedWeight-optional-1;Fadhel;15.04.2019;17:08:13;SupportedWeight;optional;1;propagated
Less14-grouped-0;Fadhel;15.04.2019;17:08:13;Less14;grouped;0;propagated
15_30-grouped-0;Fadhel;15.04.2019;17:08:13;15_30;grouped;0;propagated
31_60-grouped-1;Fadhel;15.04.2019;17:08:13;31_60;grouped;1;manual
61_90-grouped-0;Fadhel;15.04.2019;17:08:13;61_90;grouped;0;propagated
91_120-grouped-0;Fadhel;15.04.2019;17:08:13;91_120;grouped;0;propagated
More121-grouped-0;Fadhel;15.04.2019;17:08:13;More121;grouped;0;propagated
SupportedHeight-optional-1;Fadhel;15.04.2019;17:08:20;SupportedHeight;optional;1;manual
0-5_0-99-grouped-0;Fadhel;15.04.2019;17:08:25;0-5_0-99;grouped;0;propagated
1_1-29-grouped-0;Fadhel;15.04.2019;17:08:25;1_1-29;grouped;0;propagated
1-3_1-59-grouped-1;Fadhel;15.04.2019;17:08:25;1-3_1-59;grouped;1;manual
1-6_1-99-grouped-0;Fadhel;15.04.2019;17:08:25;1-6_1-99;grouped;0;propagated
More2-grouped-0;Fadhel;15.04.2019;17:08:25;More2;grouped;0;propagated
4_9-grouped-0;Fadhel;15.04.2019;17:08:30;4_9;grouped;0;propagated
10_19-grouped-0;Fadhel;15.04.2019;17:08:30;10_19;grouped;0;propagated
20_40-grouped-1;Fadhel;15.04.2019;17:08:30;20_40;grouped;1;manual
41_60-grouped-0;Fadhel;15.04.2019;17:08:30;41_60;grouped;0;propagated
More60-grouped-0;Fadhel;15.04.2019;17:08:30;More60;grouped;0;propagated
Dabster-grouped-1;Fadhel;15.04.2019;17:08:36;Dabster;grouped;1;manual
Professional-grouped-0;Fadhel;15.04.2019;17:08:36;Professional;grouped;0;propagated
Passionned-grouped-0;Fadhel;15.04.2019;17:08:36;Passionned;grouped;0;propagated
24inch-grouped-1;Fadhel;15.04.2019;17:08:41;24inch;grouped;1;manual
26inch-grouped-0;Fadhel;15.04.2019;17:08:41;26inch;grouped;0;propagated
27-5inch-grouped-0;Fadhel;15.04.2019;17:08:41;27-5inch;grouped;0;propagated
29inch-grouped-0;Fadhel;15.04.2019;17:08:41;29inch;grouped;0;propagated
20inch-grouped-0;Fadhel;15.04.2019;17:08:41;20inch;grouped;0;propagated
15inch-grouped-0;Fadhel;15.04.2019;17:08:41;15inch;grouped;0;propagated
-500-grouped-0;Fadhel;15.04.2019;17:08:46;-500;grouped;0;propagated
501_999-grouped-1;Fadhel;15.04.2019;17:08:46;501_999;grouped;1;manual
1000_1999-grouped-0;Fadhel;15.04.2019;17:08:46;1000_1999;grouped;0;propagated
More2000-grouped-0;Fadhel;15.04.2019;17:08:46;More2000;grouped;0;propagated
Male-grouped-1;Fadhel;15.04.2019;17:08:49;Male;grouped;1;manual
Female-grouped-0;Fadhel;15.04.2019;17:08:49;Female;grouped;0;propagated
Light-optional-0;Fadhel;15.04.2019;17:08:58;Light;optional;0;manual
LedBlue-grouped-0;Fadhel;15.04.2019;17:08:58;LedBlue;grouped;0;propagated
LedYellow-grouped-0;Fadhel;15.04.2019;17:08:58;LedYellow;grouped;0;propagated
WheelsKind-optional-0;Fadhel;15.04.2019;17:09:00;WheelsKind;optional;0;manual
AllYear-grouped-0;Fadhel;15.04.2019;17:09:00;AllYear;grouped;0;propagated
Summer-grouped-0;Fadhel;15.04.2019;17:09:00;Summer;grouped;0;propagated
Winter-grouped-0;Fadhel;15.04.2019;17:09:00;Winter;grouped;0;propagated
Application-optional-0;Fadhel;15.04.2019;17:09:03;Application;optional;0;manual
GoogleMaps-optional-0;Fadhel;15.04.2019;17:09:03;GoogleMaps;optional;0;propagated
Navigator-optional-0;Fadhel;15.04.2019;17:09:03;Navigator;optional;0;propagated
Guider-optional-0;Fadhel;15.04.2019;17:09:03;Guider;optional;0;propagated
Music-optional-0;Fadhel;15.04.2019;17:09:03;Music;optional;0;propagated
Basket-optional-0;Fadhel;15.04.2019;17:09:06;Basket;optional;0;manual
Wooden-grouped-0;Fadhel;15.04.2019;17:09:06;Wooden;grouped;0;propagated
SteelWires-grouped-0;Fadhel;15.04.2019;17:09:06;SteelWires;grouped;0;propagated
Plastic-grouped-1;Fadhel;15.04.2019;17:09:17;Plastic;grouped;1;manual
Gel-grouped-0;Fadhel;15.04.2019;17:09:17;Gel;grouped;0;propagated
Mountain-grouped-0;Fadhel;15.04.2019;17:09:19;Mountain;grouped;0;manual
Work-grouped-0;Fadhel;15.04.2019;17:09:23;Work;grouped;0;propagated
Urban-grouped-0;Fadhel;15.04.2019;17:09:23;Urban;grouped;0;propagated
Racing-grouped-0;Fadhel;15.04.2019;17:09:23;Racing;grouped;0;propagated
Mountain-grouped-1;Fadhel;15.04.2019;17:09:23;Mountain;grouped;1;manual
Suspension-grouped-1;Fadhel;15.04.2019;17:09:23;Suspension;grouped;1;propagated
Static-grouped-0;Fadhel;15.04.2019;17:09:23;Static;grouped;0;propagated
SupportedWeight-optional-0;Fadhel;15.04.2019;17:09:31;SupportedWeight;optional;0;manual
Less14-grouped-0;Fadhel;15.04.2019;17:09:31;Less14;grouped;0;propagated
15_30-grouped-0;Fadhel;15.04.2019;17:09:31;15_30;grouped;0;propagated
31_60-grouped-0;Fadhel;15.04.2019;17:09:31;31_60;grouped;0;propagated
61_90-grouped-0;Fadhel;15.04.2019;17:09:31;61_90;grouped;0;propagated
91_120-grouped-0;Fadhel;15.04.2019;17:09:31;91_120;grouped;0;propagated
More121-grouped-0;Fadhel;15.04.2019;17:09:31;More121;grouped;0;propagated
EnergySource-optional-0;Fadhel;15.04.2019;17:09:35;EnergySource;optional;0;manual
SolarPanel-grouped-0;Fadhel;15.04.2019;17:09:35;SolarPanel;grouped;0;propagated
Dynamo-grouped-0;Fadhel;15.04.2019;17:09:35;Dynamo;grouped;0;propagated
Battery-grouped-0;Fadhel;15.04.2019;17:09:35;Battery;grouped;0;propagated
CompUnit-optional-0;Fadhel;15.04.2019;17:09:35;CompUnit;optional;0;propagated
GPS-grouped-0;Fadhel;15.04.2019;17:09:35;GPS;grouped;0;propagated
Tablet-grouped-0;Fadhel;15.04.2019;17:09:35;Tablet;grouped;0;propagated
FootPedal-grouped-0;Fadhel;15.04.2019;17:09:39;FootPedal;grouped;0;manual
Engine-grouped-1;Fadhel;15.04.2019;17:09:39;Engine;grouped;1;propagated
Triathlon-grouped-0;Fadhel;15.04.2019;17:09:42;Triathlon;grouped;0;manual
StepThrough-grouped-0;Fadhel;15.04.2019;17:09:47;StepThrough;grouped;0;manual
Diamond-grouped-1;Fadhel;15.04.2019;17:09:47;Diamond;grouped;1;propagated
2years-grouped-0;Fadhel;15.04.2019;17:09:52;2years;grouped;0;manual
3years-grouped-1;Fadhel;15.04.2019;17:09:56;3years;grouped;1;manual
LifeTime-grouped-0;Fadhel;15.04.2019;17:09:56;LifeTime;grouped;0;propagated
XLarge-grouped-0;Fadhel;15.04.2019;17:10:01;XLarge;grouped;0;manual
Accessories-optional-0;Fadhel;15.04.2019;17:10:06;Accessories;optional;0;manual
Mudguards-grouped-0;Fadhel;15.04.2019;17:10:06;Mudguards;grouped;0;propagated
AirPump-grouped-0;Fadhel;15.04.2019;17:10:06;AirPump;grouped;0;propagated
KaskRoad-grouped-0;Fadhel;15.04.2019;17:10:06;KaskRoad;grouped;0;propagated
BikeCovers-grouped-0;Fadhel;15.04.2019;17:10:06;BikeCovers;grouped;0;propagated
WaterBottles-grouped-0;Fadhel;15.04.2019;17:10:06;WaterBottles;grouped;0;propagated
SmallPannier-grouped-0;Fadhel;15.04.2019;17:10:06;SmallPannier;grouped;0;propagated
BigPannier-grouped-0;Fadhel;15.04.2019;17:10:06;BigPannier;grouped;0;propagated
TheftPreventions-optional-0;Fadhel;15.04.2019;17:10:09;TheftPreventions;optional;0;manual
AmovibleSeat-grouped-0;Fadhel;15.04.2019;17:10:09;AmovibleSeat;grouped;0;propagated
Lock-grouped-0;Fadhel;15.04.2019;17:10:09;Lock;grouped;0;propagated
AlarmSystem-grouped-0;Fadhel;15.04.2019;17:10:09;AlarmSystem;grouped;0;propagated
GeolocalisationSystem-grouped-0;Fadhel;15.04.2019;17:10:09;GeolocalisationSystem;grouped;0;propagated
