Activity;Resource;Date;Time;Column 5;Column 6;Column 7;Decision Type
4_9-grouped-0;ahmedBT;15.04.2019;17:41:58;4_9;grouped;0;propagated
10_19-grouped-0;ahmedBT;15.04.2019;17:41:58;10_19;grouped;0;propagated
20_40-grouped-0;ahmedBT;15.04.2019;17:41:58;20_40;grouped;0;propagated
41_60-grouped-1;ahmedBT;15.04.2019;17:41:58;41_60;grouped;1;manual
More60-grouped-0;ahmedBT;15.04.2019;17:41:58;More60;grouped;0;propagated
Male-grouped-1;ahmedBT;15.04.2019;17:42:06;Male;grouped;1;manual
Female-grouped-0;ahmedBT;15.04.2019;17:42:06;Female;grouped;0;propagated
SupportedWeight-optional-1;ahmedBT;15.04.2019;17:42:19;SupportedWeight;optional;1;propagated
Less14-grouped-0;ahmedBT;15.04.2019;17:42:19;Less14;grouped;0;propagated
15_30-grouped-0;ahmedBT;15.04.2019;17:42:19;15_30;grouped;0;propagated
31_60-grouped-0;ahmedBT;15.04.2019;17:42:19;31_60;grouped;0;propagated
61_90-grouped-1;ahmedBT;15.04.2019;17:42:19;61_90;grouped;1;manual
91_120-grouped-0;ahmedBT;15.04.2019;17:42:19;91_120;grouped;0;propagated
More121-grouped-0;ahmedBT;15.04.2019;17:42:19;More121;grouped;0;propagated
SupportedHeight-optional-1;ahmedBT;15.04.2019;17:42:30;SupportedHeight;optional;1;propagated
0-5_0-99-grouped-0;ahmedBT;15.04.2019;17:42:30;0-5_0-99;grouped;0;propagated
1_1-29-grouped-0;ahmedBT;15.04.2019;17:42:30;1_1-29;grouped;0;propagated
1-3_1-59-grouped-0;ahmedBT;15.04.2019;17:42:30;1-3_1-59;grouped;0;propagated
1-6_1-99-grouped-1;ahmedBT;15.04.2019;17:42:30;1-6_1-99;grouped;1;manual
More2-grouped-0;ahmedBT;15.04.2019;17:42:30;More2;grouped;0;propagated
-500-grouped-0;ahmedBT;15.04.2019;17:42:34;-500;grouped;0;propagated
501_999-grouped-1;ahmedBT;15.04.2019;17:42:34;501_999;grouped;1;manual
1000_1999-grouped-0;ahmedBT;15.04.2019;17:42:34;1000_1999;grouped;0;propagated
More2000-grouped-0;ahmedBT;15.04.2019;17:42:34;More2000;grouped;0;propagated
Dabster-grouped-1;ahmedBT;15.04.2019;17:42:37;Dabster;grouped;1;manual
Professional-grouped-0;ahmedBT;15.04.2019;17:42:37;Professional;grouped;0;propagated
Passionned-grouped-0;ahmedBT;15.04.2019;17:42:37;Passionned;grouped;0;propagated
Work-grouped-1;ahmedBT;15.04.2019;17:42:45;Work;grouped;1;manual
Urban-grouped-0;ahmedBT;15.04.2019;17:42:45;Urban;grouped;0;propagated
Racing-grouped-0;ahmedBT;15.04.2019;17:42:45;Racing;grouped;0;propagated
Mountain-grouped-0;ahmedBT;15.04.2019;17:42:45;Mountain;grouped;0;propagated
Accessories-optional-0;ahmedBT;15.04.2019;17:43:01;Accessories;optional;0;manual
Mudguards-grouped-0;ahmedBT;15.04.2019;17:43:01;Mudguards;grouped;0;propagated
AirPump-grouped-0;ahmedBT;15.04.2019;17:43:01;AirPump;grouped;0;propagated
KaskRoad-grouped-0;ahmedBT;15.04.2019;17:43:01;KaskRoad;grouped;0;propagated
BikeCovers-grouped-0;ahmedBT;15.04.2019;17:43:01;BikeCovers;grouped;0;propagated
WaterBottles-grouped-0;ahmedBT;15.04.2019;17:43:01;WaterBottles;grouped;0;propagated
SmallPannier-grouped-0;ahmedBT;15.04.2019;17:43:01;SmallPannier;grouped;0;propagated
BigPannier-grouped-0;ahmedBT;15.04.2019;17:43:01;BigPannier;grouped;0;propagated
TheftPreventions-optional-1;ahmedBT;15.04.2019;17:43:06;TheftPreventions;optional;1;propagated
AmovibleSeat-grouped-1;ahmedBT;15.04.2019;17:43:06;AmovibleSeat;grouped;1;manual
